,code,code_count,code_score,duration,time_ratio,A/C,M/F,appearance,engagement_level,encoded_code,duration_sum
530,"['Approach', 'None']",2,"[3, 4]","[2080, 880]","[0.7027027027027027, 0.2972972972972973]",Child,Male,"흰색/검은색 줄무늬 상의, 검은색 바지",low,8400000000000000000000,2960
531,"['Approach', 'Gesture']",2,"[3, 5]","[1600, 1680]","[0.4878048780487805, 0.5121951219512195]",Child,Male,"흰색/검은색 줄무늬 상의, 검은색 바지",high,8100000000000000000000,3280
532,"['Approach', 'Gesture']",2,"[3, 5]","[1920, 4560]","[0.2962962962962963, 0.7037037037037037]",Child,Male,"흰색/검은색 줄무늬 상의, 검은색 바지",high,8100000000000000000000,6480
533,"['Approach', 'None']",2,"[3, 4]","[3200, 4480]","[0.4166666666666667, 0.5833333333333334]",Child,Male,"빨간색 패딩, 청바지",low,8400000000000000000000,7680
534,"['Approach', 'None']",2,"[3, 4]","[3680, 6560]","[0.359375, 0.640625]",Adult,Female,"검은색 롱코트, 검은색 하의, 검은색 운동화",low,8400000000000000000000,10240
535,"['Approach', 'None', 'Touch']",3,"[3, 4, 5]","[13840, 3600, 7440]","[0.5562700964630225, 0.14469453376205788, 0.2990353697749196]",Adult,Female,"검은색 롱코트, 검은색 하의, 검은색 운동화",low,8420000000000000000000,24880
536,"['Approach', 'None']",2,"[3, 4]","[4560, 4640]","[0.4956521739130435, 0.5043478260869565]",Adult,Male,"검은색 자켓, 검은색 바지, 흰색 운동화",low,8400000000000000000000,9200
537,"['Approach', 'None']",2,"[3, 4]","[4000, 3760]","[0.5154639175257731, 0.4845360824742268]",Child,Male,"검은색 상의, 청바지",low,8400000000000000000000,7760
538,"['Approach', 'None', 'Touch', 'None', 'Gesture']",5,"[3, 4, 5, 4, 5]","[2720, 10720, 8480, 7120, 2480]","[0.08629441624365482, 0.3401015228426396, 0.26903553299492383, 0.22588832487309646, 0.07868020304568528]",Child,Male,"검은색 상의, 청바지",high,8424100000000000000000,31520
539,"['Approach', 'None']",2,"[3, 4]","[8560, 3200]","[0.7278911564625851, 0.272108843537415]",Child,Male,"검은색 상의, 청바지",low,8400000000000000000000,11760
540,"['Approach', 'None']",2,"[3, 4]","[2960, 1680]","[0.6379310344827587, 0.3620689655172414]",Child,Female,"빨간색 체크무늬 패딩, 흰색 상의, 멜빵바지",low,8400000000000000000000,4640
541,"['Approach', 'None']",2,"[3, 4]","[11920, 5120]","[0.6995305164319249, 0.3004694835680751]",Adult,Female,"크로스백, 베이지색 후드, 청바지",low,8400000000000000000000,17040
542,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None', 'Touch', 'Touch', 'None', 'None']",17,"[3, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 5, 4, 4]","[8000, 2000, 1520, 1840, 5120, 3440, 880, 2800, 2880, 2560, 9520, 1840, 800, 2240, 5200, 0, 14560]","[0.12269938650306748, 0.03067484662576687, 0.023312883435582823, 0.02822085889570552, 0.0785276073619632, 0.05276073619631902, 0.013496932515337423, 0.04294478527607362, 0.044171779141104296, 0.0392638036809816, 0.1460122699386503, 0.02822085889570552, 0.012269938650306749, 0.0343558282208589, 0.07975460122699386, 0.0, 0.2233128834355828]",Adult,Female,"주황색 롱코트(분홍색 상의), 회색 하의",high,8242424241424224400000,65200
543,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",7,"[3, 5, 4, 5, 4, 5, 4]","[12960, 8240, 3120, 17120, 2240, 5200, 8080]","[0.22752808988764045, 0.1446629213483146, 0.054775280898876406, 0.300561797752809, 0.03932584269662921, 0.09129213483146068, 0.14185393258426968]",Child,Female,"빨간색 체크무늬 패딩, 흰색 상의, 멜빵바지",high,8242424000000000000000,56960
544,"['Approach', 'None']",2,"[3, 4]","[2720, 26800]","[0.0921409214092141, 0.907859078590786]",Adult,Female,"베이지색 자켓, 보라색 상의, 검은색 바지",low,8400000000000000000000,29520
545,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",8,"[3, 4, 5, 4, 5, 4, 5, 4]","[7600, 1600, 2240, 5280, 5680, 3840, 2240, 34720]","[0.12025316455696203, 0.02531645569620253, 0.035443037974683546, 0.08354430379746836, 0.08987341772151898, 0.060759493670886074, 0.035443037974683546, 0.549367088607595]",Child,Male,"검은색 상의, 검은색 바지, 검은색 운동화",high,8424242400000000000000,63200
546,"['Approach', 'None']",2,"[3, 4]","[5920, 7440]","[0.4431137724550898, 0.5568862275449101]",Child,Male,"검은색 상의, 검은색 바지, 검은색 운동화",low,8400000000000000000000,13360
547,"['Approach', 'None']",2,"[3, 4]","[2320, 5680]","[0.29, 0.71]",Child,Male,"검은색 상의, 검은색 바지, 검은색 운동화",low,8400000000000000000000,8000
548,"['Approach', 'Touch', 'None']",3,"[3, 5, 4]","[7920, 4880, 16800]","[0.26756756756756755, 0.16486486486486487, 0.5675675675675675]",Child,Male,"검은색 상의, 검은색 바지, 검은색 운동화",low,8240000000000000000000,29600
549,"['Approach', 'Touch', 'None']",3,"[3, 5, 4]","[1680, 1920, 15040]","[0.09012875536480687, 0.10300429184549356, 0.8068669527896996]",Child,Male,"검은색 상의, 검은색 바지, 검은색 운동화",high,8240000000000000000000,18640
550,"['Approach', 'None']",2,"[3, 4]","[6560, 15680]","[0.2949640287769784, 0.7050359712230215]",Child,Male,"파란색 상의, 회색 바지, 검은색 운동화",low,8400000000000000000000,22240
551,"['Approach', 'None']",2,"[3, 4]","[2240, 28080]","[0.07387862796833773, 0.9261213720316622]",Child,Male,"파란색 상의, 회색 바지, 검은색 운동화",low,8400000000000000000000,30320
