pid,code,duration,code_score,A/C,M/F,code_count,engagement_score,norm_engagement_score
1062,"['Approach', 'None']","[6160, 10880]","[0, 4]",Child,Male,2,43520,3.7337545774395062
1063,"['Approach', 'None']","[3040, 15600]","[0, 4]",Child,Male,2,62400,5.4283047318158975
1064,"['Approach', 'None', 'Gesture', 'None']","[3600, 18640, 2640, 2960]","[0, 4, 5, 4]",Child,Male,4,99600,8.767142959718532
1065,"['Approach', 'None', 'Touch', 'Gesture', 'None', 'Touch', 'None']","[4560, 13680, 2960, 1680, 8240, 3440, 14480]","[0, 4, 5, 5, 4, 5, 4]",Child,Male,7,186000,16.521864005169814
1066,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None', 'Gesture', 'None']","[1680, 3520, 14800, 5200, 14320, 2640, 24320, 3120, 10320, 4560, 46800, 4160, 1040, 2480, 7200, 3040, 71440, 3120, 4800]","[0, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4]",Child,Male,19,939360,84.13872334314641
1067,"['Approach', 'None']","[2320, 30720]","[0, 4]",Child,Male,2,122880,10.856609463631795
1071,"['Approach', 'Touch', 'None', 'Touch', 'None']","[6080, 10960, 9920, 2320, 16640]","[0, 5, 4, 5, 4]",Child,Male,5,172640,15.322754362030588
1074,"['Approach', 'Gesture']","[9040, 1520]","[0, 5]",Child,Male,2,7600,0.5098011057657786
1078,"['Approach', 'None']","[6800, 9520]","[0, 4]",Child,Male,2,38080,3.2454943634666473
1097,"['Approach', 'None', 'Touch', 'None']","[12240, 47120, 3680, 35840]","[0, 4, 5, 4]",Adult,Female,4,350240,31.263014288791556
1098,"['Approach', 'Touch', 'None']","[2480, 1920, 18000]","[0, 5, 4]",Adult,Female,3,81600,7.1515760752495146
1099,"['Approach', 'None', 'None']","[2800, 5440, 12720]","[0, 4, 4]",Adult,Female,3,72640,6.347382781647159
1100,"['Approach', 'None']","[6080, 33520]","[0, 4]",Adult,Female,2,134080,11.86185108063474
1101,"['Approach', 'None']","[2160, 10000]","[0, 4]",Adult,Female,2,40000,3.417821497810009
1103,"['Approach', 'None']","[9760, 135360]","[0, 4]",Child,Female,2,541440,48.42392475048467
1104,"['Approach', 'None']","[10400, 6560]","[0, 4]",Child,Female,2,26240,2.1828103683492497
1105,"['Approach', 'None']","[5280, 5200]","[0, 4]",Child,Female,2,20800,1.694550154376391
1106,"['Approach', 'None']","[4560, 20800]","[0, 4]",Child,Female,2,83200,7.295182020535649
1108,"['Approach', 'None', 'Gesture', 'None']","[7680, 5200, 2800, 2400]","[0, 4, 5, 4]",Child,Male,4,44400,3.81273784734688
1109,"['Approach', 'None', 'Gesture', 'None', 'Gesture', 'None']","[5360, 45360, 1840, 36400, 6320, 62800]","[0, 4, 5, 4, 5, 4]",Child,Male,6,619040,55.38881309686221
1110,"['Approach', 'None']","[3840, 11680]","[0, 4]",Child,Male,2,46720,4.020966468011776
1111,"['Approach', 'None']","[4800, 16480]","[0, 4]",Child,Male,2,65920,5.7442378114453945
1114,"['Approach', 'Touch']","[12640, 4800]","[0, 5]",Child,Male,2,24000,1.9817620449486608
