pid,code,code_count,code_score,duration,time_ratio,A/C,M/F,appearance,engagement_score,norm_engagement_score,engagement_level
222,"['Approach', 'Touch']",2,"[3, 5]","[4000, 63920]","[0.05889281507656066, 0.9411071849234394]",Child,Female,"묶은 머리, 검정 상의, 흰색 조끼, 검정 바지",4.882214369846879,97.18414444593694,high
223,"['Approach', 'None']",2,"[3, 4]","[5920, 38960]","[0.1319073083778966, 0.8680926916221033]",Child,Female,"묶은 머리, 검정 상의, 흰색 조끼, 검정 바지",3.868092691622103,66.67788527358188,low
224,"['Approach', 'None']",2,"[3, 4]","[6400, 5120]","[0.5555555555555556, 0.4444444444444444]",Child,Female,"묶은 머리, 검정 상의, 흰색 조끼, 검정 바지",3.4444444444444446,53.93392810964572,low
225,"['Approach', 'Touch']",2,"[3, 5]","[8000, 32000]","[0.2, 0.8]",Child,Female,"묶은 머리, 검정 상의, 흰색 조끼, 검정 바지",4.6,88.6947245927075,high
226,"['Approach', 'None', 'Touch']",3,"[3, 4, 5]","[9760, 11840, 93120]","[0.08507670850767085, 0.10320781032078104, 0.8117154811715481]",Child,Female,"묶은 머리, 검정 상의, 흰색 조끼, 검정 바지",4.726638772663877,92.50420357644829,high
229,"['Approach', 'Touch']",2,"[3, 5]","[2720, 94640]","[0.027937551355792935, 0.9720624486442071]",Child,Female,"검정 상의, 흰색 조끼, 회색 바지",4.944124897288415,99.04650340757041,high
230,"['Approach', 'None']",2,"[3, 4]","[4720, 14640]","[0.24380165289256198, 0.756198347107438]",Child,Female,"검정 상의, 흰색 조끼, 회색 바지",3.7561983471074383,63.31194019324353,low
231,"['Approach', 'None']",2,"[3, 4]","[4320, 22400]","[0.16167664670658682, 0.8383233532934131]",Child,Female,"검정 상의, 흰색 조끼, 회색 바지",3.838323353293413,65.78238015822505,low
232,"['Approach', 'None']",2,"[3, 4]","[8560, 12880]","[0.39925373134328357, 0.6007462686567164]",Child,Female,"검정 상의, 흰색 조끼, 회색 바지",3.6007462686567164,58.635714947373295,low
233,"['Approach', 'Touch']",2,"[3, 5]","[3360, 2880]","[0.5384615384615384, 0.46153846153846156]",Child,Male,"줄무늬 검정색 상의, 줄무늬 검정색 하의",3.9230769230769234,68.33189114996718,low
234,"['Approach', 'Touch']",2,"[3, 5]","[4960, 4240]","[0.5391304347826087, 0.4608695652173913]",Child,Male,"줄무늬 검정색 상의, 줄무늬 검정색 하의",3.9217391304347826,68.29164839612777,low
235,"['Approach', 'Touch']",2,"[3, 5]","[3960, 33960]","[0.10443037974683544, 0.8955696202531646]",Child,Male,"회색 맨투맨, 검정 바지, 흰색 운동화",4.79113924050633,94.44447172275635,high
236,"['Approach', 'Touch']",2,"[3, 5]","[2320, 56560]","[0.03940217391304348, 0.9605978260869565]",Child,Male,"회색 맨투맨, 검정 바지, 흰색 운동화",4.921195652173914,98.35675827233786,high
243,"['Approach', 'None']",2,"[3, 4]","[11520, 10320]","[0.5274725274725275, 0.4725274725274725]",Child,Male,"회색 맨투맨, 검정 바지, 흰색 운동화",3.4725274725274726,54.778706553338054,low
244,"['Approach', 'None']",2,"[3, 4]","[5600, 3440]","[0.6194690265486725, 0.3805309734513274]",Child,Male,"회색 맨투맨, 검정 바지, 흰색 운동화",3.380530973451327,52.0113176846976,low
245,"['Approach', 'None', 'Touch']",3,"[3, 4, 5]","[7120, 8960, 22720]","[0.18350515463917524, 0.2309278350515464, 0.5855670103092784]",Child,Male,"회색 맨투맨, 검정 바지, 흰색 운동화",4.402061855670103,82.74045651947887,high
246,"['Approach', 'Touch']",2,"[3, 5]","[4240, 45120]","[0.08589951377633712, 0.9141004862236629]",Child,Male,"차콜색 후드, 검정 바지, 검은색/흰색 운동화",4.828200972447326,95.55934267389065,high
247,"['Approach', 'Touch']",2,"[3, 5]","[2080, 12560]","[0.14207650273224043, 0.8579234972677595]",Child,Male,"차콜색 후드, 검정 바지, 검은색/흰색 운동화",4.715846994535519,92.17957115059328,high
251,"['Approach', 'Touch']",2,"[3, 5]","[11680, 81920]","[0.12478632478632479, 0.8752136752136752]",Child,Male,"차콜색 후드, 검정 바지, 검은색/흰색 운동화",4.750427350427351,93.2197986910943,high
