,code,start,duration,A/C,M/F,appearance
150,"['Approach', 'None']","[210000, 215200]","[5200, 38880]",Adult,Female,"{'갈색 코트, 검정색 바지, 흰색 운동화'}"
151,"['Approach', 'None']","[233360, 238640]","[5280, 15840]",Adult,Female,"{'크로스백, 분홍색 점퍼, 검은색 바지'}"
152,"['Approach', 'Gesture']","[133720, 143320]","[9600, 9920]",Adult,Female,"{'검정색 상의, 청바지'}"
153,"['Approach', 'Gesture', 'Touch']","[575920, 581280, 599360]","[5360, 18080, 4160]",Child,Male,"{'검정색 후드, 차콜색 바지'}"
154,"['Approach', 'Gesture']","[621680, 626880]","[5200, 3200]",Child,Male,"{'검정색 후드, 차콜색 바지'}"
155,"['Approach', 'None']","[1435360, 1450880]","[15520, 640]",Child,Female,"{'분홍색 상의, 분홍색 치마'}"
156,"['Approach', 'Gesture']","[1574240, 1585440]","[11200, 26560]",Child,Female,"{'분홍색 상의, 분홍색 치마'}"
157,"['Approach', 'Touch', 'Approach', 'Touch', 'Approach', 'Avoid']","[1635840, 1643600, 1687680, 1691520, 1746960, 1749840]","[7760, 44080, 3840, 55840, 2880, 5200]",Child,Female,"{'분홍색 상의, 분홍색 치마'}"
158,"['Approach', 'None']","[1443240, 1450040]","[6800, 2240]",Child,Male,"{'회색 조끼, 검정색 바지'}"
159,"['Approach', 'None']","[1574520, 1583800]","[9280, 29280]",Child,Male,"{'회색 조끼, 검정색 바지'}"
160,"['Approach', 'None', 'Approach']","[1634840, 1644360, 1649880]","[9520, 5520, 2160]",Child,Male,"{'회색 조끼, 검정색 바지'}"
161,"['Approach', 'Touch']","[1660440, 1668360]","[7920, 18080]",Child,Male,"{'회색 조끼, 검정색 바지'}"
162,"['Approach', 'Gesture', 'Touch', 'Gesture', 'Avoid']","[1697240, 1701960, 1708920, 1721800, 1749160]","[4720, 6960, 12880, 27360, 6640]",Child,Male,"{'회색 조끼, 검정색 바지'}"
163,"['Approach', 'None']","[1571920, 1580880]","[8960, 32480]",Adult,Female,"{'분홍색 아이 가방, 파란색 상의, 검정색 바지'}"
