,code,start,duration,A/C,M/F,appearance
334,"['Approach', 'Touch']","[302840, 316200]","[13360, 27520]",Child,Male,"{'체크무늬 상의, 검은색 바지'}"
335,"['Approach', 'None']","[248400, 265680]","[17280, 16480]",Adult,Female,"{'보라색 상의, 청바지, 흰색 운동화'}"
336,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[252960, 258320, 260880, 279680, 285120, 288320]","[5360, 2560, 18800, 5440, 3200, 1760]",Adult,Male,"{'베이지색 상의, 청바지'}"
337,"['Approach', 'None']","[254880, 261200]","[6320, 29160]",Child,Female,"{'주황색/보라색 상의, 베이지색 바지'}"
338,"['Approach', 'None']","[523760, 526000]","[2240, 2160]",Adult,Male,"{'안경, 검은색 점퍼, 검은색 바지, 검은색 신발'}"
339,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None']","[564000, 577040, 584560, 586720, 602080, 605520, 618400, 630800, 634960, 637280, 645040, 648240, 667760, 669920]","[13040, 7520, 2160, 15360, 3440, 12880, 12440, 4160, 2320, 7760, 3200, 19520, 2160, 8800]",Adult,Male,"{'검은색 백팩, 검은색 상의, 검은색 트레이닝 바지'}"
340,"['Approach', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None', 'Touch', 'None']","[560080, 573440, 575600, 576960, 580320, 591120, 592800, 623440, 625360, 626960, 631120, 632800, 641360, 642640, 647280, 649360]","[13360, 2160, 1360, 3360, 10800, 1680, 29520, 1920, 1600, 4160, 1680, 8560, 1280, 4640, 2080, 17520]",Child,Male,"{'검은색 점퍼, 회색 바지, 빨간색 운동화'}"
341,"['Approach', 'None']","[605200, 610320]","[5120, 5280]",Child,Male,"{'하늘색/흰색 점퍼, 검은색 바지'}"
342,"['Approach', 'Gesture', 'None', 'Approach', 'Gesture', 'None']","[1824920, 1833000, 1838680, 1839640, 1841400, 1856040]","[8080, 5680, 960, 1760, 14640, 7680]",Child,Male,"{'회색 상의, 회색 바지'}"
343,"['Approach', 'None']","[1880200, 1882120]","[1920, 5440]",Child,Male,"{'회색 상의, 회색 바지'}"
344,"['Approach', 'Touch', 'None', 'Gesture', 'Touch', 'None', 'Gesture', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None', 'Approach', 'None', 'Gesture', 'Touch']","[1926120, 1928360, 1930280, 1953720, 1954920, 1956680, 1958120, 1969880, 1972200, 1994040, 1995480, 1996280, 1999800, 2002040, 2005240, 2005720, 2007240]","[2240, 1920, 23440, 1200, 1760, 1440, 11760, 2320, 21840, 1440, 800, 3520, 2240, 3200, 480, 1520, 1520]",Child,Male,"{'회색 상의, 회색 바지'}"
345,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None']","[1820320, 1827120, 1834240, 1856160, 1858560, 1865280, 1870000, 1888360, 1890040, 1908280, 1911400, 1940440, 1942840, 1971160, 1975800]","[6800, 7120, 21920, 2400, 6720, 4720, 18360, 1680, 18280, 3120, 29040, 2400, 28720, 4640, 4240]",Child,Male,"{'민트색 상의, 검정색 조끼, 민트색 바지'}"
346,"['Approach', 'Touch', 'Gesture', 'Touch', 'None', 'Touch', 'None']","[2005800, 2011880, 2013960, 2021720, 2024760, 2033480, 2035240]","[6080, 2080, 7760, 3040, 8720, 1760, 33200]",Child,Male,"{'민트색 상의, 검정색 조끼, 민트색 바지'}"
347,"['Approach', 'None']","[2013240, 2025640]","[12400, 42800]",Adult,Female,"{'회색 상의, 베이지색 조끼, 회색 치마'}"
348,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[1817880, 1831400, 1844120, 1847240, 1860520, 1862360, 1864360, 1868280]","[13520, 12720, 3120, 13280, 1840, 2000, 4160, 17040]",Adult,Male,"{'흰색 상의, 베이지색 바지'}"
349,"['Approach', 'None']","[2287760, 2307920]","[20160, 3200]",Adult,Male,"{'남색 점퍼, 회색바지'}"
350,"['Approach', 'None']","[2377360, 2385440]","[8080, 72640]",Adult,Male,"{'남색 점퍼, 회색바지'}"
351,"['Approach', 'None', 'Gesture', 'None']","[1726880, 1734240, 1737520, 1740400]","[7360, 3280, 1760, 720]",Child,Female,"{'분홍색 점퍼, 분홍색 바지'}"
352,"['Approach', 'Touch', 'None']","[1748400, 1760400, 1764000]","[12000, 3600, 8400]",Child,Female,"{'분홍색 점퍼, 분홍색 바지'}"
353,"['Approach', 'None']","[2312320, 2315920]","[3600, 2080]",Child,Female,"{'분홍색 점퍼, 분홍색 바지'}"
354,"['Approach', 'None']","[2374880, 2378480]","[3600, 49360]",Child,Female,"{'분홍색 점퍼, 분홍색 바지'}"
355,"['Approach', 'None', 'Touch']","[2452640, 2456000, 2456400]","[3360, 400, 3440]",Child,Female,"{'분홍색 점퍼, 분홍색 바지'}"
356,"['Approach', 'None']","[2537120, 2541680]","[4560, 2880]",Child,Female,"{'크로스백, 검은색 롱패딩, 청바지'}"
357,"['Approach', 'None', 'Gesture', 'None', 'Gesture', 'None']","[2630280, 2637080, 2639640, 2641720, 2647560, 2650280]","[6800, 2560, 2080, 5840, 2720, 12480]",Adult,Female,"{'빨간색 롱패딩, 검은색 바지'}"
358,"['Approach', 'None', 'Approach', 'None']","[2628000, 2638720, 2639680, 2641760]","[10720, 960, 2080, 15120]",Adult,Male,"{'빨간색 패딩, 검은색바지'}"
359,"['Approach', 'None', 'Approach', 'None']","[2626760, 2638600, 2639720, 2643400]","[11840, 1120, 3680, 14640]",Child,Female,"{'분홍색 패딩, 검은색 바지'}"
360,"['Approach', 'Gesture']","[2779520, 2781840]","[2320, 4080]",Child,Female,"{'분홍색 패딩, 검은색 바지'}"
361,"['Approach', 'Touch', 'None']","[2606240, 2609280, 2611360]","[3040, 2080, 4880]",Child,Male,"{'검은색 패딩, 검은색 바지'}"
362,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch']","[2628800, 2636800, 2639760, 2657200, 2677840, 2681760]","[8000, 2960, 17440, 20640, 3920, 16320]",Child,Male,"{'검은색 패딩, 검은색 바지'}"
363,"['Approach', 'Gesture']","[331680, 336720]","[5040, 1680]",Adult,Female,"{'빨간색 롱패딩, 검은색 바지'}"
364,"['Approach', 'Gesture']","[332800, 337840]","[5040, 3280]",Child,Female,"{'분홍색 패딩, 검은색 바지'}"
365,"['Approach', 'Gesture']","[335360, 339120]","[3760, 6060]",Child,Male,"{'검은색 패딩, 검은색 바지'}"
366,"['Approach', 'None', 'Touch', 'None']","[1453680, 1471680, 1493600, 1497280]","[18000, 21920, 3680, 24960]",Adult,Male,"{'빨간색 패딩, 검은색바지'}"
367,"['Approach', 'None', 'Approach', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None', 'Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Approach', 'None', 'Approach', 'None', 'Avoid', 'None', 'Avoid', 'Approach', 'None', 'Avoid']","[1001040, 1015760, 1069640, 1073480, 1078120, 1078920, 1081720, 1105480, 1108360, 1120360, 1126200, 1149560, 1152920, 1158600, 1162600, 1163160, 1165960, 1173560, 1175000, 1189240, 1189800, 1224760, 1228040, 1228680, 1231000, 1234200, 1235880]","[14720, 53920, 3840, 4640, 800, 2800, 23760, 2880, 11600, 5840, 23400, 3360, 5680, 4000, 560, 2800, 7600, 1440, 14240, 560, 34960, 3280, 640, 2320, 3200, 1680, 3920]",Child,Female,"{'분홍색 패딩(흰색/검은색 상의), 검은색 바지'}"
368,"['Approach', 'None', 'Avoid', 'Approach', 'None', 'Avoid']","[1265320, 1271480, 1272280, 1273560, 1275640, 1276760]","[6160, 800, 1280, 2080, 1120, 2880]",Child,Female,"{'분홍색 패딩(흰색/검은색 상의), 검은색 바지'}"
369,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'Touch', 'None']","[990080, 994160, 1000880, 1021120, 1023440, 1035360, 1038000, 1052880, 1055520, 1057280]","[4080, 6720, 20240, 2320, 11920, 2640, 14880, 2640, 1760, 15280]",Child,Male,"{'검은색 패딩(빨간색 상의), 검은색 바지'}"
370,"['Approach', 'None', 'Approach', 'Touch', 'None']","[1080720, 1087120, 1089840, 1091440, 1092800]","[6400, 2720, 1600, 1360, 10400]",Child,Male,"{'검은색 패딩(빨간색 상의), 검은색 바지'}"
371,"['Approach', 'None', 'Approach', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None']","[1116240, 1126800, 1133360, 1135920, 1137760, 1139840, 1141840, 1149840, 1152880]","[10560, 6560, 2560, 1840, 2080, 2000, 8000, 3040, 8160]",Child,Male,"{'검은색 패딩(빨간색 상의), 검은색 바지'}"
372,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Avoid', 'Approach', 'None', 'Touch', 'Avoid', 'None', 'Follow', 'Touch', 'None', 'Avoid', 'None', 'Avoid', 'Follow', 'Gesture', 'Touch', 'Avoid', 'Follow', 'None', 'Avoid', 'None']","[1163040, 1172560, 1176000, 1185200, 1207440, 1224000, 1230160, 1237120, 1238240, 1240240, 1244800, 1251120, 1253680, 1262160, 1264160, 1268640, 1269840, 1273040, 1277360, 1279600, 1285200, 1289120, 1293120, 1300160, 1304960, 1309920, 1317920]","[9520, 3440, 9200, 22240, 16560, 6320, 6960, 1120, 2000, 4560, 6320, 2560, 8480, 2000, 4480, 1200, 3200, 4320, 2240, 5600, 3920, 4800, 7040, 4800, 4960, 8000, 11360]",Child,Male,"{'검은색 패딩(빨간색 상의), 검은색 바지'}"
373,"['Approach', 'Touch', 'None', 'Gesture', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch']","[1453680, 1459360, 1464000, 1466240, 1469040, 1471840, 1473280, 1475680, 1504880, 1521360, 1529920]","[5680, 4640, 2240, 2800, 2800, 1440, 2400, 29200, 16480, 8560, 13520]",Child,Male,"{'검은색 패딩(빨간색 상의), 검은색 바지'}"
374,"['Approach', 'None']","[1108440, 1123720]","[15280, 19280]",Adult,Female,"{'검은색 롱패딩, 베이지색 바지'}"
375,"['Approach', 'Touch', 'None']","[1108440, 1121560, 1125240]","[13120, 2680, 13920]",Child,Female,"{'크로스백, 검은색 롱패딩, 청바지'}"
376,"['Approach', 'None']","[2234120, 2240520]","[6400, 1520]",Child,Male,"{'회색 상의, 검은색 바지'}"
377,"['Approach', 'None']","[466200, 469880]","[3680, 1840]",Child,Male,"{'빨간색 상의, 검은색 조끼 패딩, 검은색 바지'}"
378,"['Approach', 'Gesture']","[442800, 444800]","[2000, 1520]",Child,Male,"{'흰색/검은색 줄무늬 상의, 검은색 바지'}"
379,"['Approach', 'None']","[451120, 452480]","[1360, 480]",Child,Male,"{'흰색/검은색 줄무늬 상의, 검은색 바지'}"
380,"['Approach', 'None']","[463920, 465680]","[2080, 880]",Child,Male,"{'흰색/검은색 줄무늬 상의, 검은색 바지'}"
381,"['Approach', 'Gesture']","[472640, 474240]","[1600, 1680]",Child,Male,"{'흰색/검은색 줄무늬 상의, 검은색 바지'}"
382,"['Approach', 'Gesture']","[479920, 481840]","[1920, 4560]",Child,Male,"{'흰색/검은색 줄무늬 상의, 검은색 바지'}"
383,"['Approach', 'None']","[466040, 469240]","[3200, 4480]",Child,Male,"{'빨간색 패딩, 청바지'}"
384,"['Approach', 'None']","[477960, 481640]","[3680, 6560]",Adult,Female,"{'검은색 롱코트, 검은색 하의, 검은색 운동화'}"
385,"['Approach', 'None', 'Touch']","[2108960, 2122800, 2126400]","[13840, 3600, 7440]",Adult,Female,"{'검은색 롱코트, 검은색 하의, 검은색 운동화'}"
386,"['Approach', 'None']","[479640, 484200]","[4560, 4640]",Adult,Male,"{'검은색 자켓, 검은색 바지, 흰색 운동화'}"
387,"['Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Gesture']","[434680, 438680, 442440, 445160, 455880, 464360, 471480]","[4000, 3760, 2720, 10720, 8480, 7120, 2480]",Child,Male,"{'검은색 상의, 청바지'}"
388,"['Approach', 'None']","[2133920, 2142480]","[8560, 3200]",Child,Male,"{'검은색 상의, 청바지'}"
389,"['Approach', 'None']","[1987360, 1990320]","[2960, 1680]",Child,Female,"{'빨간색 체크무늬 패딩, 흰색 상의, 멜빵바지'}"
390,"['Approach', 'None']","[2085280, 2097200]","[11920, 5120]",Adult,Female,"{'크로스백, 베이지색 후드, 청바지'}"
391,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None', 'Touch', 'Touch', 'None']","[714480, 722480, 724480, 726000, 727840, 732960, 736400, 737280, 740080, 742960, 745520, 755040, 756880, 757680, 759840, 759920]","[8000, 2000, 1520, 1840, 5120, 3440, 880, 2800, 2880, 2560, 9520, 1840, 800, 2240, 5200, 0]",Adult,Female,"{'주황색 롱코트(분홍색 상의), 회색 하의'}"
392,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[716600, 729560, 737800, 740920, 757800, 760040, 765240]","[12960, 8240, 3120, 17120, 2240, 5200, 8080]",Child,Female,"{'빨간색 체크무늬 패딩, 흰색 상의, 멜빵바지'}"
393,"['Approach', 'None']","[1147960, 1150680]","[2720, 26800]",Adult,Female,"{'베이지색 자켓, 보라색 상의, 검은색 바지'}"
394,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[979600, 987200, 988800, 991040, 996320, 1002000, 1005840, 1008080]","[7600, 1600, 2240, 5280, 5680, 3840, 2240, 34720]",Child,Male,"{'검은색 상의, 검은색 바지, 검은색 운동화'}"
395,"['Approach', 'None', 'Approach', 'None']","[1053600, 1059520, 1066960, 1069280]","[5920, 7440, 2320, 5680]",Child,Male,"{'검은색 상의, 검은색 바지, 검은색 운동화'}"
396,"['Approach', 'Touch', 'None', 'Approach', 'Touch', 'None']","[1129000, 1136920, 1141800, 1159320, 1161000, 1162920]","[7920, 4880, 16800, 1680, 1920, 15040]",Child,Male,"{'검은색 상의, 검은색 바지, 검은색 운동화'}"
397,"['Approach', 'None', 'Approach', 'None']","[1022240, 1028800, 1044480, 1046720]","[6560, 15680, 2240, 28080]",Child,Male,"{'파란색 상의, 회색 바지, 검은색 운동화'}"
398,"['Approach', 'None', 'Touch', 'None']","[1131360, 1140960, 1161200, 1163440]","[9600, 20240, 2240, 15120]",Child,Male,"{'파란색 상의, 회색 바지, 검은색 운동화'}"
399,"['Approach', 'Gesture']","[714480, 718000]","[3520, 3920]",Child,Male,"{'주황색 패딩, 빨간색 땡땡의 상의, 바지'}"
400,"['Approach', 'None']","[743200, 749680]","[6480, 26560]",Child,Male,"{'주황색 패딩, 빨간색 땡땡의 상의, 바지'}"
401,"['Approach', 'None']","[1510520, 1520920]","[10400, 7360]",Adult,Female,"{'크로스백, 회색 자켓, 청바지'}"
402,"['Approach', 'None']","[1514040, 1526680]","[12640, 3040]",Child,Female,"{'분홍색 롱패딩, 흰색 하의, 분홍색 신발'}"
403,"['Approach', 'Follow']","[1749680, 1754560]","[4880, 3200]",Child,Male,"{'흰색/갈색 상의(하늘색 상의), 검은색 바지'}"
404,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'Touch', 'Gesture', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'None']","[2433040, 2437280, 2440720, 2441840, 2444160, 2449600, 2452160, 2472800, 2490640, 2496880, 2509840, 523440, 533520, 544400, 559920, 566400, 567040, 572960, 2320]","[4240, 3440, 1120, 2320, 5440, 2560, 20640, 17840, 6240, 12960, 9600, 10080, 10880, 15520, 6480, 640, 5920, 5200, 10000]",Adult,Female,"{'크로스백, 베이지색 후드, 청바지'}"
405,"['Approach', 'None']","[1464800, 1471600]","[6800, 13600]",Adult,Male,"{'검은색 상의, 검은색 바지, 회색 운동화'}"
406,"['Approach', 'None']","[1464560, 1470960]","[6400, 11280]",Adult,Female,"{'체크무늬 상의, 갈색 바지'}"
407,"['Approach', 'None']","[1464080, 1471520]","[7440, 10800]",Child,Female,"{'갈색 상의, 파란색 바지'}"
408,"['Approach', 'None', 'Gesture', 'None', 'Gesture', 'None', 'Gesture', 'None', 'Approach', 'Gesture', 'None', 'Approach', 'Gesture']","[2445160, 2449240, 2452040, 2454920, 2459080, 2461160, 2462040, 2465400, 2467640, 2468760, 2471320, 2474680, 2476520]","[4080, 2800, 2880, 4160, 2080, 880, 3360, 2240, 1120, 2560, 3360, 1840, 2480]",Child,Male,"{'파란색 패딩, 검은색 바지'}"
409,"['Approach', 'None', 'Approach', 'None']","[2460360, 2465080, 2466120, 2469080]","[4720, 1040, 2960, 12240]",Adult,Male,"{'검은색 후드집업, 검은색 바지, 검은색 운동화'}"
410,"['Approach', 'Gesture']","[2839880, 2843160]","[3280, 2320]",Adult,Male,"{'검은색 후드집업, 검은색 바지, 검은색 운동화'}"
411,"['Approach', 'None']","[2553120, 2557200]","[4080, 14000]",Child,Female,"{'갈색 상의, 파란색 바지'}"
412,"['Approach', 'None', 'Approach', 'None']","[2580960, 2586160, 2638160, 2640880]","[5200, 52000, 2720, 7920]",Child,Female,"{'갈색 상의, 파란색 바지'}"
413,"['Approach', 'None']","[2680480, 2685840]","[5360, 16720]",Child,Female,"{'갈색 상의, 파란색 바지'}"
414,"['Approach', 'None']","[2733120, 2735520]","[2400, 6400]",Child,Female,"{'갈색 상의, 파란색 바지'}"
415,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[2530320, 2546240, 2558880, 2563840, 2574400, 2582080, 2597360, 2601680, 2613920, 2616400, 2618080, 2627120, 2631200, 2634400, 2637440]","[15920, 12640, 4960, 10560, 7680, 15280, 4320, 11120, 2480, 1680, 9040, 3680, 3200, 3040, 10800]",Adult,Female,"{'검은색 상의, 회색 상의, 검은색 바지'}"
416,"['Approach', 'None']","[2651280, 2659280]","[8000, 1600]",Adult,Female,"{'검은색 상의, 회색 상의, 검은색 바지'}"
417,"['Approach', 'Touch', 'None', 'Approach', 'Touch', 'None', 'Gesture', 'None', 'Approach', 'Touch', 'None']","[2530320, 2541840, 2545760, 2626720, 2628800, 2630560, 2638480, 2640640, 2662080, 2663840, 2664960]","[11520, 3920, 80960, 2080, 1760, 7920, 2160, 21440, 1760, 1120, 18640]",Child,Male,"{'파란색 패딩, 검은색 바지'}"
418,"['Approach', 'None']","[2700560, 2705120]","[4560, 1840]",Child,Male,"{'파란색 패딩, 검은색 바지'}"
419,"['Approach', 'Touch', 'None', 'Gesture', 'None', 'Gesture', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None', 'Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'Gesture', 'None', 'Touch', 'None', 'Approach', 'None']","[2673840, 2687120, 2690080, 2691040, 2694240, 2695280, 2696960, 2701200, 2702720, 2707520, 2714880, 2716960, 2719280, 2721680, 2733920, 2736880, 2739600, 2742720, 2746080, 2747760, 2753200, 2759600, 2780480, 2783680, 2786720, 2793040, 2796720, 2797120, 2799360]","[13280, 2960, 960, 3200, 1040, 1680, 4240, 1520, 4800, 7360, 2080, 2320, 2400, 12240, 2960, 2720, 3120, 3360, 1680, 5440, 6400, 20880, 3200, 3040, 6320, 3680, 400, 2240, 7840]",Adult,Female,"{'체크무늬 상의, 갈색 치마'}"
420,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None']","[2834120, 2840440, 2854840, 2874520, 2882360, 2883880, 2890120, 2891640, 2893320, 2902200, 2905720]","[6320, 14400, 19680, 7840, 1520, 6240, 1520, 1680, 8880, 3520, 5840]",Adult,Female,"{'체크무늬 상의, 갈색 치마'}"
421,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[2916200, 2918840, 2927000, 2927720, 2929960, 2931960, 2935560]","[2640, 8160, 720, 2240, 2000, 3600, 12720]",Adult,Female,"{'체크무늬 상의, 갈색 치마'}"
422,"['Approach', 'None']","[2836720, 2842400]","[5680, 71040]",Adult,Male,"{'검은색 상의, 갈색 바지'}"
423,"['Approach', 'None']","[2310080, 2316320]","[6240, 8640]",Child,Male,"{'갈색 점퍼, 검은색 바지'}"
424,"['Approach', 'None', 'Touch', 'None']","[2676320, 2689200, 2716160, 2718400]","[12880, 26960, 2240, 23120]",Child,Male,"{'갈색 점퍼, 검은색 바지'}"
425,"['Approach', 'None', 'Touch', 'None', 'Approach', 'None']","[2754800, 2758000, 2763120, 2765120, 2780000, 2785600]","[3200, 5120, 2000, 14880, 5600, 18160]",Child,Male,"{'갈색 점퍼, 검은색 바지'}"
426,"['Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture']","[2836320, 2845360, 2847280, 2849520, 2852640, 2854480, 2874800, 2877600, 2906640]","[9040, 1920, 2240, 3160, 1840, 20320, 2800, 29040, 3760]",Child,Male,"{'갈색 점퍼, 검은색 바지'}"
427,"['Approach', 'None']","[2547960, 2552280]","[4320, 32080]",Adult,Male,"{'검은색 후드집업, 검은색 바지, 검은색 운동화'}"
428,"['Approach', 'None', 'Approach', 'None', 'Approach', 'Gesture', 'None', 'Touch', 'None', 'Approach', 'Touch', 'None']","[2589560, 2592760, 2596440, 2600280, 2612760, 2615000, 2616920, 2638040, 2640360, 2647560, 2649400, 2651800]","[3200, 3680, 3840, 12480, 2240, 1920, 21120, 2320, 7200, 1840, 2400, 10800]",Adult,Male,"{'검은색 후드집업, 검은색 바지, 검은색 운동화'}"
429,"['Approach', 'None']","[2797560, 2807480]","[9920, 1280]",Child,Male,"{'검은색 점퍼, 흰색 상의, 검은색 바지'}"
430,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[2914120, 2923720, 2955320, 2959000, 3001240, 3003800, 3012200, 3018760]","[9600, 31600, 3680, 42240, 2560, 8400, 6560, 21280]",Child,Male,"{'검은색 점퍼, 흰색 상의, 검은색 바지'}"
431,"['Approach', 'None', 'Approach', 'None']","[2919960, 2925560, 2970520, 2977320]","[5600, 44960, 6800, 62720]",Child,Male,"{'검은색 점퍼, 파란색 상의, 갈색 바지'}"
432,"['Approach', 'None', 'Approach', 'None', 'Approach', 'None', 'Approach', 'None']","[2914320, 2925680, 2937600, 2942720, 2945680, 2949040, 2970080, 2974240]","[11360, 12480, 5120, 2960, 3360, 21040, 4160, 65760]",Adult,Female,"{'흰색 가방, 흰색 점퍼, 청바지'}"
433,"['Approach', 'None']","[2913880, 2919720]","[5840, 120320]",Adult,Female,"{'갈색 모자, 검은색 롱패딩, 베이지색 바지'}"
434,"['Approach', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[2915800, 2926840, 2949800, 2956560, 2958480, 2975280, 2979120, 2988400, 2990800, 3027600, 3029360]","[10160, 23000, 6760, 1920, 16800, 3840, 9280, 2400, 36800, 1760, 10640]",Adult,Male,"{'검은색 점퍼, 검은색 상의 위 흰색 무늬, 검은색 바지'}"
435,"['Approach', 'None', 'Gesture', 'None', 'Approach', 'Touch', 'None']","[2912960, 2915840, 2949760, 2953680, 2960560, 2962400, 2964560]","[2880, 33920, 3920, 6880, 1840, 2160, 75440]",Child,Male,"{'검은색 점퍼, 흰색 줄무늬 검은색 바지'}"
436,"['Approach', 'None']","[13360, 17760]","[4400, 7840]",Adult,Female,"{'체크무늬 상의, 갈색 치마'}"
437,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[43040, 55680, 84640, 87520, 89520, 97600]","[12640, 28960, 2880, 2000, 8080, 11200]",Adult,Female,"{'체크무늬 상의, 갈색 치마'}"
438,"['Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None']","[112800, 116880, 149040, 151600, 158640, 164240, 172160, 174240, 192000, 195680]","[4080, 32160, 2560, 7040, 5600, 7920, 2080, 17760, 3680, 14560]",Adult,Female,"{'체크무늬 상의, 갈색 치마'}"
439,"['Approach', 'None', 'Approach', 'Follow', 'Approach', 'None']","[18680, 22520, 27480, 40360, 49800, 63880]","[3840, 4960, 12880, 9440, 14080, 152240]",Adult,Male,"{'검은색 상의, 갈색 바지'}"
440,"['Approach', 'None']","[10680, 17400]","[6720, 10800]",Child,Male,"{'갈색 점퍼, 검은색 바지'}"
441,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[44200, 56280, 58520, 61320, 92040, 96200, 104600, 108040, 123240, 127000, 177160, 181800]","[12080, 2240, 2800, 30720, 4160, 8400, 3440, 15200, 3760, 50160, 4640, 18880]",Child,Male,"{'갈색 점퍼, 검은색 바지'}"
442,"['Approach', 'Gesture']","[262760, 265320]","[2560, 3440]",Child,Male,"{'갈색 점퍼, 검은색 바지'}"
443,"['Follow', 'Avoid', 'None', 'Approach', 'None', 'Avoid', 'Follow', 'Approach', 'None']","[8320, 12880, 17360, 22640, 26000, 36400, 41120, 48320, 58240]","[4560, 4480, 5280, 3360, 10400, 4720, 7200, 9920, 1680]",Child,Male,"{'검은색 점퍼, 흰색 상의, 검은색 바지'}"
444,"['Approach', 'None', 'Touch', 'None', 'Touch']","[391840, 394720, 467040, 469760, 473840]","[2880, 72320, 2720, 4080, 2880]",Child,Male,"{'검은색 점퍼, 흰색 상의, 검은색 바지'}"
445,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch']","[383120, 386640, 388160, 390240, 392560, 401600, 405280, 454720]","[3520, 1520, 2080, 2320, 9040, 3680, 49440, 1840]",Child,Male,"{'검은색 점퍼, 파란색 상의, 갈색 바지'}"
446,"['Avoid', 'None', 'Approach', 'None', 'Avoid', 'None']","[15120, 19120, 23600, 26720, 33360, 37120]","[4000, 4480, 3120, 6640, 3760, 11360]",Adult,Female,"{'흰색 가방, 흰색 점퍼, 청바지'}"
447,"['Approach', 'None']","[362880, 366240]","[3360, 21600]",Adult,Female,"{'흰색 가방, 흰색 점퍼, 청바지'}"
448,"['Approach', 'None', 'Approach', 'Follow']","[16240, 21040, 38720, 40160]","[4800, 17680, 1440, 4160]",Adult,Female,"{'갈색 모자, 검은색 롱패딩, 베이지색 바지'}"
449,"['Approach', 'None']","[52400, 62560]","[10160, 6640]",Adult,Female,"{'갈색 모자, 검은색 롱패딩, 베이지색 바지'}"
450,"['Approach', 'None']","[107120, 114960]","[7840, 10880]",Adult,Female,"{'갈색 모자, 검은색 롱패딩, 베이지색 바지'}"
451,"['Approach', 'None', 'Approach', 'None', 'Approach', 'Touch', 'None']","[363320, 370040, 414440, 419080, 428840, 431320, 433080]","[6720, 44400, 4640, 9760, 2480, 1760, 48800]",Adult,Female,"{'갈색 모자, 검은색 롱패딩, 베이지색 바지'}"
452,"['Approach', 'None']","[20160, 28160]","[8000, 2720]",Adult,Male,"{'검은색 점퍼, 검은색 상의 위 흰색 무늬, 검은색 바지'}"
453,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[398400, 404800, 414160, 416320, 423040, 427360]","[6400, 9360, 2160, 6720, 4320, 28400]",Adult,Male,"{'검은색 점퍼, 검은색 상의 위 흰색 무늬, 검은색 바지'}"
454,"['Avoid', 'Approach', 'None', 'Approach', 'Follow']","[11040, 15760, 19520, 36880, 39360]","[4720, 3760, 17360, 2480, 8560]",Child,Male,"{'검은색 점퍼, 흰색 줄무늬 검은색 바지'}"
455,"['Approach', 'None']","[50240, 55760]","[5520, 13840]",Child,Male,"{'검은색 점퍼, 흰색 줄무늬 검은색 바지'}"
